ID,Institute Name,Short Name,Established Year,Location,Management
1,National Institute of Technology Calicut,NITC,1961,Kozhikode,
2,ER&DCI Institute of Technology Trivandrum,ER&DCI,2001,Trivandrum,
3,National Institute of Electronics & Information Technology Calicut,NIELIT,2002,Kozhikode,
4,Indian Institute of Space Science and Technology Trivandrum,IIST,2007,Trivandrum,
5,Indian Institute of Information Technology Kottayam,IIITK,2015,Kottayam,
6,Indian Institute of Technology Palakkad,IIT PKD,2015,Palakkad,
7,Indian Institute of Science Education and Research Thiruvananthapuram,IISER-TVM,2008,Trivandrum,
8,College of Engineering Trivandrum,CET,1939,Trivandrum,
9,Government Engineering College Thrissur,GECT,1957,Thrissur,
10,Thangal Kunju Musaliar College of Engineering Kollam,TKMCE,1958,Kollam,
11,NSS College of Engineering Palakkad,NSSCE,1960,Palakkad,
105,Matha College of Technology,MTA,2003,North Paravur, Ernakulam,Nssuc & Ecr Trust
106,MES College of Engineering and Technology,MEE,2011,Kunnukara, Ernakulam,Muslim Educational Society (Regd)
107,MES Institute of Technology and Management,MEK,2009,Chathannoor, Kollam,Muslim Educational Society - Mes
108,MET'S School of Engineering,MET,2002,Mala, Thrissur,Mala Educational Trust
109,Mohandas College of Engineering and Technology,MCT,2002,Nedumangad, Trivandrum,V.N. Gangadhara Panicker Memorial Trust
110,Mookambika Technical Campus,MKE,2012,Mannathur, Ernakulam,Namboothiri Trust,ceased
111,Mount Zion College of Engineering,MZC,2001,Kadammanitta, Pathanamthitta,Charitable Educational Welfare Society
112,Mount Zion College of Engineering For Women,MZW,2009,Chengannur, Alappuzha,Charitable Educational and Welfare Society
113,Musaliar College of Engineering,MCC,2011,Chirayinkeezh, Trivandrum,Musaliar Education Trust
114,Musaliar College of Engineering and Technology,MCK,2002,Kumbazha, Pathanamthitta,Musaliar Education Trust
115,Muslim Association College of Engineering,MUS,2002,Venjaramoodu, Trivandrum,Muslim Association, Trivandrum
116,Muthoot Institute of Technology and Science,MUT,2013,Puthencruz, Ernakulam,Muthoot M George Institute of Technology
117,Nehru College of Engineering and Research Centre,NCE,2002,Thiruwilwamala, Thrissur,Nehru College of Educational and Charitable Trust
118,Nirmala College of Engineering,NIE,2011,Chalakudy, Thrissur,Nirmala Educational Trust
119,North Malabar Institute of Technology,NML,2012,Kanhangad, Kasaragod,North Malabar Educational and Charitable Trust
120,Pinnacle School of Engineering and Technology,PNC,2013,Anchal, Kollam,Ashtapadi Foundation,ceased
121,Prime College of Engineering,PRC,2009,Kodumbu, Palakkad,Prime Educational & Charitable Trust,ceased
122,Providence College of Engineering,PCE,2015,Chengannur, Alappuzha,MGM Charitable Educational & Welfare Society
123,Prs College of Engineering and Technology,PRS,2003,Neyyattinkara, Trivandrum,Mary Matha Education Society
124,Rajadhani Institute of Engineering and Technology,RIE,2009,Attingal, Trivandrum,Indira Charitable Trust
125,Rajagiri School of Engineering and Technology,RET,2001,Kakkanad, Ernakulam,Cmi Rajagiri S H Province-Rect
126,Royal College of Engineering and Technology,RCE,2003,Chiramanangad, Thrissur,Royal Educational Society and Research Centre
127,Sadguru Swami Nithyananda Institute of Technology,SGT,2010,Kanhangad, Kasaragod,Sree Nithyananda Vidya Kendra
128,Sahrdaya College of Engineering and Technology,SHR,2002,Kodakara, Thrissur,Irinjalakuda Diocesan Educational Trust
129,Saintgits College of Engineering,MGP,2002,Pathamuttom, Kottayam,Mar Gregorios Educational Society,ceased
130,Sarabhai Institute of Science and Technology,SIT,2004,Vellanad, Trivandrum,Space Engineers Welfare Society
131,SCMS School of Engineering and Technology,SCM,2001,Karukutty, Ernakulam,Prathap Foundation For Education and Training
132,Shahul Hameed Memorial Engineering College,SHM,2002,Kadakkal, Kollam,Kadakkal Educational Trust,ceased
133,SNM Institute of Management and Technology,SNM,2002,North Paravur, Ernakulam,HMDP Sabha (1882), Moothakunnam
134,Sree Buddha College of Engineering,SBC,2002,Nooranad, Alappuzha,Sree Buddha Educational Society, Kollam
135,Sree Buddha College of Engineering For Women,SBW,2009,Elavumthitta, Pathanamthitta,Sree Buddha Foundation, Kollam
136,Sree Ernakulathappan College of Engineering and Management,ECE,2011,Injakundu(Mupliyam), Thrissur,Ernakulathappan Charitable and Educational Trust
137,Sree Narayana Guru College of Engineering and Technology,SNC,2003,Payyanur, Kannur,Sree Bhakthi Samvardhini Yogam
138,Sree Narayana Guru Institute of Science and Technology,SNT,2003,North Paravur, Ernakulam,Gurudeva Trust
139,Sree Narayana Gurukulam College of Engineering,SNG,2002,Kolenchery, Ernakulam,Sree Narayana Gurukulam Charitable Trust
140,Sree Narayana Institute of Technology,SNP,2011,Adoor, Pathanamthitta,Pattayil Kunju Kunju Memorial Charitable Trust
141,Sreepathy Institute of Management and Technology,SPT,2009,Vavanoor, Palakkad,Sreepathy Trust
142,Sri Vellappally Natesan College of Engineering,VPE,2009,Mavelikara, Alappuzha,Sree Gurudeva Charitable & Educational Trust
143,St. Gregorios College of Engineering,SGP,2014,Perla, Kasaragod,St. Gregorios Memorial Trust,ceased
144,St. Joseph's College of Engineering and Technology,SJC,2002,Choondacherry, Kottayam,Diocesan Technical Education Trust Palai
145,St. Thomas College of Engineering and Technology,STM,2014,Sivapuram, Kannur,St Thomas Educational Society
146,St. Thomas College of Engineering and Technology,STC,2010,Chengannur, Alappuzha,St Thomas Educational Society
147,St.Thomas Institute for Science and Technology,STI,2010,Kazhakuttom, Trivandrum,The Mar Thoma Church Educational Society
148,TKM Institute of Technology,TKI,2002,Ezhukone, Kollam,Tkm College Trust
149,Thejus Engineering College,TJE,2009,Erumapetty, Thrissur,Cheruvathur Foundation
150,Toc H Institute of Science and Technology,TOC,2002,Arakkunnam, Ernakulam,Toc H Public School Society
151,Toms College of Engineering For Startups,TCE,2014,Mattakara, Kottayam,Thirunilam Educational Trust
152,Travancore Engineering College,TEC,2002,Oyoor, Kollam,Travancore Education Society,ceased
153,Trinity College of Engineering,TCT,2011,Naruvamoodu, Thiruvananthapuram,Trinity Charitable Trust
154,UKF College of Engineering and Technology,UKP,2009,Puthenkulam, Kollam,Universal Knowledge Foundation
155,Universal Engineering College,UNT,2011,Irinjalakuda, Thrissur,Universal Educational Trust
156,Valia Koonambaikulathamma College of Engineering and Technology,VKE,2009,Parippally, Kollam,Valia Koonambaikulam Sixree Bhadrakali Kshetra Trust
157,Vedavyasa Institute of Technology,VVT,2004,Karad Paramba, Malappuram,Vedavyasa Trust
158,Vidya Academy of Science and Technology,VAS,2003,Thalakkottukkara, Thrissur,Vidya International Charitable Trust
159,Vidya Academy of Science and Technology Technical Campus,VAK,2013,Kilimanoor, Thiruvananthapuram,Vidya International Charitable Trust
160,VISAT Engineering College,VIT,2011,Mutholapuram, Ernakulam,Vinjyan Foundation
161,Vimal Jyothi Engineering College,VML,2002,Chemperi, Kannur,Mehsar Diocesan Educational Trust, Thalassery
162,Viswajyothi College of Engineering and Technology,VJC,2001,Muvattupuzha, Ernakulam,Diocesan Technical Education Trust Kothamangalam
163,Younus College of Engineering,YCW,2010,Kottarakkara, Kollam,Fathima Memorial Educational Trust
164,Younus College of Engineering & Technology,YCE,2002,Vadakkevila, Kollam,Fathima Memorial Educational Trust,ceased
165,Younus Institute of Technology,YCK,2011,Kannanalloor, Kollam,Fathima Memorial Educational Trust
